#TOD, VSZ_CPL_N_0, RSS_CPL_N_0, VSZ_ATM_N_0, RSS_ATM_N_0, VSZ_LND_N_0, RSS_LND_N_0, VSZ_ICE_N_0, RSS_ICE_N_0, VSZ_OCN_N_0, RSS_OCN_N_0, VSZ_GLC_N_0, RSS_GLC_N_0, VSZ_ROF_N_0, RSS_ROF_N_0, VSZ_WAV_N_0, RSS_WAV_N_0, VSZ_IAC_N_0, RSS_IAC_N_0
20110228.00000,   129201.898,      181.492,   129201.898,      181.492,   129201.898,      181.492,   129201.898,      181.492,   129201.898,      181.492,   129201.898,      181.492,   129201.898,      181.492,   129201.898,      181.492,   129201.898,      181.492
20110300.00000,   129201.898,      189.504,   129201.898,      189.504,   129201.898,      189.504,   129201.898,      189.504,   129201.898,      189.504,   129201.898,      189.504,   129201.898,      189.504,   129201.898,      189.504,   129201.898,      189.504
20110302.00000,   129201.898,      189.504,   129201.898,      189.504,   129201.898,      189.504,   129201.898,      189.504,   129201.898,      189.504,   129201.898,      189.504,   129201.898,      189.504,   129201.898,      189.504,   129201.898,      189.504
20110304.00000,   129201.898,      189.504,   129201.898,      189.504,   129201.898,      189.504,   129201.898,      189.504,   129201.898,      189.504,   129201.898,      189.504,   129201.898,      189.504,   129201.898,      189.504,   129201.898,      189.504
20110304.00000,   129201.898,      189.504,   129201.898,      189.504,   129201.898,      189.504,   129201.898,      189.504,   129201.898,      189.504,   129201.898,      189.504,   129201.898,      189.504,   129201.898,      189.504,   129201.898,      189.504
20110304.00000,   129201.898,      189.504,   129201.898,      189.504,   129201.898,      189.504,   129201.898,      189.504,   129201.898,      189.504,   129201.898,      189.504,   129201.898,      189.504,   129201.898,      189.504,   129201.898,      189.504
20110306.00000,   129201.898,      189.504,   129201.898,      189.504,   129201.898,      189.504,   129201.898,      189.504,   129201.898,      189.504,   129201.898,      189.504,   129201.898,      189.504,   129201.898,      189.504,   129201.898,      189.504
20110308.00000,   129201.898,      189.504,   129201.898,      189.504,   129201.898,      189.504,   129201.898,      189.504,   129201.898,      189.504,   129201.898,      189.504,   129201.898,      189.504,   129201.898,      189.504,   129201.898,      189.504
20110308.00000,   129201.898,      189.504,   129201.898,      189.504,   129201.898,      189.504,   129201.898,      189.504,   129201.898,      189.504,   129201.898,      189.504,   129201.898,      189.504,   129201.898,      189.504,   129201.898,      189.504
20110308.00000,   129201.898,      189.504,   129201.898,      189.504,   129201.898,      189.504,   129201.898,      189.504,   129201.898,      189.504,   129201.898,      189.504,   129201.898,      189.504,   129201.898,      189.504,   129201.898,      189.504
20110310.00000,   129201.898,      189.504,   129201.898,      189.504,   129201.898,      189.504,   129201.898,      189.504,   129201.898,      189.504,   129201.898,      189.504,   129201.898,      189.504,   129201.898,      189.504,   129201.898,      189.504
20110312.00000,   129201.898,      189.504,   129201.898,      189.504,   129201.898,      189.504,   129201.898,      189.504,   129201.898,      189.504,   129201.898,      189.504,   129201.898,      189.504,   129201.898,      189.504,   129201.898,      189.504
20110312.00000,   129201.898,      189.504,   129201.898,      189.504,   129201.898,      189.504,   129201.898,      189.504,   129201.898,      189.504,   129201.898,      189.504,   129201.898,      189.504,   129201.898,      189.504,   129201.898,      189.504
20110312.00000,   129201.898,      189.504,   129201.898,      189.504,   129201.898,      189.504,   129201.898,      189.504,   129201.898,      189.504,   129201.898,      189.504,   129201.898,      189.504,   129201.898,      189.504,   129201.898,      189.504
20110314.00000,   129201.898,      189.504,   129201.898,      189.504,   129201.898,      189.504,   129201.898,      189.504,   129201.898,      189.504,   129201.898,      189.504,   129201.898,      189.504,   129201.898,      189.504,   129201.898,      189.504
20110316.00000,   129201.898,      189.504,   129201.898,      189.504,   129201.898,      189.504,   129201.898,      189.504,   129201.898,      189.504,   129201.898,      189.504,   129201.898,      189.504,   129201.898,      189.504,   129201.898,      189.504
20110316.00000,   129201.898,      189.520,   129201.898,      189.520,   129201.898,      189.520,   129201.898,      189.520,   129201.898,      189.520,   129201.898,      189.520,   129201.898,      189.520,   129201.898,      189.520,   129201.898,      189.520
