,observed_Q,basin_ppt,basin_tmin,basin_tmax,model_Q,basin_soil_moist,basin_snowmelt,basin_actet,basin_potet
289,2.0833333333333335e-08,0.0,275.28104,275.28104,2.8049599e-06,0.37539002,0.0,5.6239687e-06,5.6239687e-06
290,2.0833333333333335e-08,0.0,274.17465,274.17465,2.8897655e-06,0.3805965,0.078753285,6.5403906e-06,6.5403906e-06
291,1.0416666666666667e-08,0.0,275.89084,275.89084,2.7486997e-06,0.37149087,0.0,1.009355e-05,1.009355e-05
292,1.0416666666666667e-08,0.0,281.90042,281.90042,2.8454688e-06,0.37723812,0.0,1.0028314e-05,1.0028314e-05
293,1.0416666666666667e-08,1.1736068e-05,278.97495,278.97495,2.7298222e-06,0.37129307,0.0,6.1175974e-06,6.1175974e-06
294,1.0416666666666667e-08,0.0,278.24915,278.24915,2.8516372e-06,0.3773098,0.0,1.3596072e-06,1.3596072e-06
295,1.0300925925925925e-07,0.0,276.49078,276.49078,2.7015828e-06,0.36822125,0.0,6.652729e-06,6.652729e-06
296,2.1655092592592595e-06,0.0002938485,277.82278,277.82278,3.25968e-06,0.42710465,0.0,5.9120997e-09,5.9120997e-09
297,1.5462962962962964e-06,0.0,281.2697,281.2697,3.8342832e-06,0.4698266,0.0,3.2610483e-06,3.2610483e-06
298,1.7523148148148149e-06,0.0,276.28207,276.28207,3.761961e-06,0.45646614,0.0,2.9903317e-06,2.9903317e-06
299,9.282407407407407e-07,0.0,274.3481,274.3481,3.7161005e-06,0.44802636,0.00080708007,1.9033284e-06,1.9033284e-06
300,5.8761574074074075e-06,4.703363e-05,279.556,279.556,3.6982697e-06,0.44423527,0.0,5.256124e-07,5.256124e-07
301,1.2268518518518519e-05,0.00019155428,277.99817,277.99817,3.9570623e-06,0.49604866,0.0,2.6496357e-11,2.6496357e-11
302,2.0206018518518522e-05,4.0511408e-05,276.99393,276.99393,4.6878718e-06,0.78671026,0.059735533,4.1451487e-09,4.1451487e-09
303,1.3504629629629631e-05,0.0,277.66934,277.66934,4.965965e-06,0.9092863,0.0,4.1579628e-07,4.1579628e-07
304,8.041666666666666e-06,2.348703e-05,278.77368,278.77368,5.128957e-06,0.9237955,0.0,1.3899714e-07,1.3899714e-07
305,5.773148148148148e-06,1.1736068e-05,279.84113,279.84113,5.035158e-06,0.9258747,0.0,1.6026111e-07,1.6026111e-07
306,4.020833333333333e-06,0.0,277.4846,277.4846,5.117204e-06,0.92788386,0.0,1.0291938e-06,1.0291938e-06
307,4.020833333333333e-06,0.0,280.53613,280.53613,4.853759e-06,0.9036402,0.0,1.1187321e-06,1.1187321e-06
308,8.144675925925926e-06,5.868034e-06,282.18146,282.18146,5.057127e-06,0.9227077,0.0,1.1215643e-07,1.1215643e-07
309,1.5258101851851853e-05,0.00017627931,284.14047,284.14047,1.1965476e-05,0.92857987,0.0,5.400315e-09,5.400315e-09
310,1.0928240740740742e-05,1.9431514e-05,275.71124,275.71124,1.43521975e-05,0.92857987,0.0,1.7609399e-07,1.7609399e-07
311,9.587962962962963e-06,0.0,275.34882,275.34882,9.539755e-06,0.92857987,0.0,5.335763e-07,5.335763e-07
312,4.4328703703703705e-06,0.0,275.62997,275.62997,6.8940312e-06,0.92857987,0.0,9.25469e-07,9.25469e-07
313,4.638888888888889e-06,0.0,277.89978,277.89978,5.7320694e-06,0.92857987,0.0,1.0010035e-06,1.0010035e-06
314,3.5046296296296298e-06,0.0,278.3367,278.3367,5.2055225e-06,0.92857987,0.0,9.838956e-07,9.838956e-07
315,2.886574074074074e-06,0.0,277.4561,277.4561,5.0990125e-06,0.9275505,0.0,2.697824e-07,2.697824e-07
316,2.7835648148148147e-06,3.5223096e-05,276.20258,276.20258,5.2957926e-06,0.92857987,0.0,1.5039644e-08,1.5039644e-08
317,1.6493055555555557e-06,0.0,273.81076,273.81076,5.3415843e-06,0.92857987,0.0,4.0631028e-07,4.0631028e-07
318,2.0613425925925927e-06,0.0,273.82596,273.82596,5.321586e-06,0.930487,0.045847464,5.0408204e-07,5.0408204e-07
319,3.917824074074074e-06,0.0,274.94928,274.94928,5.177968e-06,0.92910886,0.01170851,6.871268e-07,6.871268e-07
320,1.3814814814814814e-05,0.00020576842,277.98645,277.98645,1.5628744e-05,0.9274054,0.0,9.5860944e-11,9.5860944e-11
321,5.030902777777778e-05,0.00015861564,280.8271,280.8271,6.386859e-05,0.92857987,0.0,1.1317724e-10,1.1317724e-10
322,7.824768518518519e-05,0.00036439896,281.8383,281.8383,0.00042022578,0.92857987,0.0,3.4327902e-10,3.4327902e-10
323,4.597916666666667e-05,0.0,271.52274,271.52274,0.00044169198,0.9293916,0.47652265,7.34532e-09,7.34532e-09
324,2.7525462962962964e-05,0.0,267.8429,267.8429,0.00017548449,0.959179,2.9223924,1.8602063e-07,1.8602063e-07
325,2.2989583333333334e-05,0.0,265.39145,265.39145,8.528746e-05,0.9974393,5.2893133,1.9181697e-07,1.9181697e-07
326,1.3092592592592594e-05,0.0,263.3495,263.3495,4.626072e-05,1.0105159,9.240177,5.0218006e-08,5.0218006e-08
327,6.701388888888889e-06,0.0,271.9773,271.9773,3.138307e-05,1.0003002,11.884948,1.1889225e-07,1.1889225e-07
328,9.793981481481482e-06,0.0,271.79532,271.79532,2.6335445e-05,0.9706159,11.394443,1.9596484e-07,1.9596484e-07
329,6.1851851851851856e-06,0.0,273.06375,273.06375,2.3578865e-05,0.94392097,10.613687,1.02892194e-07,1.02892194e-07
330,4.329861111111111e-06,0.0,269.48602,269.48602,1.9526162e-05,0.92389923,10.553975,1.08132056e-07,1.08132056e-07
