observed_Q	basin_ppt	basin_tmin	basin_tmax	model_Q	basin_soil_moist	basin_snowmelt	basin_actet	basin_potet
3.125e-08	0.0	273.38608	273.38608	2.273633e-05	0.54354644	28.962597	0.0	0.0
2.060185185185185e-07	0.0	275.4832	275.4832	2.3916e-05	0.6085406	19.036867	0.0	0.0
2.060185185185185e-07	0.0	273.96207	273.96207	1.6508122e-05	0.74133915	9.947893	0.0	0.0
1.0300925925925925e-07	0.0	277.12585	277.12585	1.9814126e-05	0.8029036	5.281758	9.345793e-26	9.345793e-26
4.12037037037037e-07	0.0	275.69495	275.69495	1.2413906e-05	0.486918	6.7195765e-06	1.482135e-24	1.482135e-24
7.222222222222222e-07	0.0	278.0929	278.0929	1.2404715e-05	0.47754645	6.285352e-06	1.6814259e-07	1.6814259e-07
7.222222222222222e-07	0.0	280.1643	280.1643	1.2394919e-05	0.47379062	6.1948268e-12	1.9653643e-07	1.9653643e-07
3.090277777777778e-07	4.6999998e-05	278.15555	278.15555	1.6830252e-05	0.40568477	0.0	5.4001664e-08	5.4001664e-08
3.090277777777778e-07	0.0	272.0879	272.0879	1.23768195e-05	0.5209502	2.8011727e-11	1.1446815e-07	1.1446815e-07
2.060185185185185e-07	0.0	272.45648	272.45648	1.23679065e-05	0.51292163	7.113066e-23	1.3426749e-24	1.3426749e-24
2.060185185185185e-07	0.0	272.82672	272.82672	1.5377602e-05	0.5250205	0.14301904	1.3151384e-24	1.3151384e-24
8.217592592592593e-08	3.052947e-05	274.7536	274.7536	2.4021316e-05	0.42121542	9.230064e-06	1.6121772e-24	1.6121772e-24
3.125e-08	0.0	267.2038	267.2038	1.2342191e-05	0.52668136	0.00010635684	1.6233874e-24	1.6233874e-24
2.0833333333333335e-08	0.0	270.27267	270.27267	1.2333057e-05	0.49894276	1.06500695e-23	6.4082854e-25	6.4082854e-25
6.13425925925926e-08	0.0	271.7657	271.7657	1.23245145e-05	0.50281686	7.726998e-24	8.264338e-25	8.264338e-25
6.13425925925926e-08	0.0	275.83554	275.83554	1.2316002e-05	0.40780511	8.735546e-23	7.867615e-25	7.867615e-25
5.208333333333333e-08	3.6218887e-06	274.3097	274.3097	1.5528289e-05	0.3733621	0.4081537	3.919839e-24	3.919839e-24
2.0833333333333335e-08	0.0	270.19733	270.19733	1.2299463e-05	0.3995347	0.98100275	0.0	0.0
0.0	0.0	265.64215	265.64215	1.2291259e-05	0.42999288	0.8353506	0.0	0.0
2.060185185185185e-07	0.0	269.16998	269.16998	1.2295984e-05	0.4176496	0.3092143	1.3785881e-24	1.3785881e-24
3.090277777777778e-07	2.373656e-05	275.56967	275.56967	1.8742077e-05	0.3482737	2.7595887	5.681715e-24	5.681715e-24
1.0300925925925925e-07	0.0	275.0319	275.0319	1.2345274e-05	0.36416376	2.3020256	8.581587e-25	8.581587e-25
2.060185185185185e-07	0.0	277.9161	277.9161	1.2386048e-05	0.3405733	0.00064511347	8.915447e-24	8.915447e-24
2.060185185185185e-07	0.0	279.90958	279.90958	1.2250965e-05	0.34338212	4.4424684e-08	7.942306e-24	7.942306e-24
2.060185185185185e-07	0.0	280.6723	280.6723	1.2243106e-05	0.34446618	0.0	1.13018185e-23	1.13018185e-23
1.0300925925925925e-07	0.0	270.55017	270.55017	1.2235357e-05	0.40242836	3.5374537e-22	1.22856085e-23	1.22856085e-23
1.0300925925925925e-07	0.0	271.8061	271.8061	1.2394012e-05	0.40426654	0.47537062	9.003349e-24	9.003349e-24
9.25925925925926e-08	0.0	270.92737	270.92737	1.22200445e-05	0.4258107	2.4462577e-23	9.378574e-24	9.378574e-24
1.0300925925925925e-07	0.0	274.29187	274.29187	1.2212428e-05	0.37373543	1.973995e-22	9.860816e-24	9.860816e-24
1.0300925925925925e-07	0.0	274.0406	274.0406	1.2204926e-05	0.37169254	2.1370754e-22	1.3085539e-23	1.3085539e-23
1.0300925925925925e-07	0.0	275.0733	275.0733	1.220029e-05	0.3518169	0.63695055	1.3215448e-23	1.3215448e-23
1.0300925925925925e-07	0.0	277.50287	277.50287	1.2192287e-05	0.33278272	0.0	2.2248211e-23	2.2248211e-23
2.060185185185185e-07	0.0	277.00638	277.00638	1.2182408e-05	0.35510334	8.9953626e-23	2.6006919e-23	2.6006919e-23
1.0300925925925925e-07	0.0	278.24628	278.24628	1.2174597e-05	0.36518586	3.677566e-23	3.0846058e-23	3.0846058e-23
2.060185185185185e-07	0.0	287.10355	287.10355	1.216639e-05	0.29592505	0.0	2.7789853e-23	2.7789853e-23
2.060185185185185e-07	0.0	282.92978	282.92978	1.2157795e-05	0.27645653	1.8023208e-23	2.942324e-23	2.942324e-23
