#TOD, VSZ_CPL_N_0, RSS_CPL_N_0, VSZ_ATM_N_0, RSS_ATM_N_0, VSZ_LND_N_0, RSS_LND_N_0, VSZ_ICE_N_0, RSS_ICE_N_0, VSZ_OCN_N_0, RSS_OCN_N_0, VSZ_GLC_N_0, RSS_GLC_N_0, VSZ_ROF_N_0, RSS_ROF_N_0, VSZ_WAV_N_0, RSS_WAV_N_0, VSZ_IAC_N_0, RSS_IAC_N_0
20110128.00000,   129201.914,      189.473,   129201.914,      189.473,   129201.914,      189.473,   129201.914,      189.473,   129201.914,      189.473,   129201.914,      189.473,   129201.914,      189.473,   129201.914,      189.473,   129201.914,      189.473
20110130.00000,   129201.914,      189.473,   129201.914,      189.473,   129201.914,      189.473,   129201.914,      189.473,   129201.914,      189.473,   129201.914,      189.473,   129201.914,      189.473,   129201.914,      189.473,   129201.914,      189.473
20110132.00000,   129201.914,      189.473,   129201.914,      189.473,   129201.914,      189.473,   129201.914,      189.473,   129201.914,      189.473,   129201.914,      189.473,   129201.914,      189.473,   129201.914,      189.473,   129201.914,      189.473
20110200.00000,   129233.938,      221.520,   129233.938,      221.520,   129233.938,      221.520,   129233.938,      221.520,   129233.938,      221.520,   129233.938,      221.520,   129233.938,      221.520,   129233.938,      221.520,   129233.938,      221.520
20110202.00000,   129233.938,      221.520,   129233.938,      221.520,   129233.938,      221.520,   129233.938,      221.520,   129233.938,      221.520,   129233.938,      221.520,   129233.938,      221.520,   129233.938,      221.520,   129233.938,      221.520
20110204.00000,   129233.938,      221.520,   129233.938,      221.520,   129233.938,      221.520,   129233.938,      221.520,   129233.938,      221.520,   129233.938,      221.520,   129233.938,      221.520,   129233.938,      221.520,   129233.938,      221.520
20110204.00000,   129233.938,      221.520,   129233.938,      221.520,   129233.938,      221.520,   129233.938,      221.520,   129233.938,      221.520,   129233.938,      221.520,   129233.938,      221.520,   129233.938,      221.520,   129233.938,      221.520
20110204.00000,   129233.938,      221.520,   129233.938,      221.520,   129233.938,      221.520,   129233.938,      221.520,   129233.938,      221.520,   129233.938,      221.520,   129233.938,      221.520,   129233.938,      221.520,   129233.938,      221.520
20110206.00000,   129233.938,      221.520,   129233.938,      221.520,   129233.938,      221.520,   129233.938,      221.520,   129233.938,      221.520,   129233.938,      221.520,   129233.938,      221.520,   129233.938,      221.520,   129233.938,      221.520
20110208.00000,   129233.938,      221.520,   129233.938,      221.520,   129233.938,      221.520,   129233.938,      221.520,   129233.938,      221.520,   129233.938,      221.520,   129233.938,      221.520,   129233.938,      221.520,   129233.938,      221.520
20110208.00000,   129233.938,      221.520,   129233.938,      221.520,   129233.938,      221.520,   129233.938,      221.520,   129233.938,      221.520,   129233.938,      221.520,   129233.938,      221.520,   129233.938,      221.520,   129233.938,      221.520
20110208.00000,   129233.938,      221.520,   129233.938,      221.520,   129233.938,      221.520,   129233.938,      221.520,   129233.938,      221.520,   129233.938,      221.520,   129233.938,      221.520,   129233.938,      221.520,   129233.938,      221.520
20110210.00000,   129233.938,      221.520,   129233.938,      221.520,   129233.938,      221.520,   129233.938,      221.520,   129233.938,      221.520,   129233.938,      221.520,   129233.938,      221.520,   129233.938,      221.520,   129233.938,      221.520
20110212.00000,   129233.938,      221.520,   129233.938,      221.520,   129233.938,      221.520,   129233.938,      221.520,   129233.938,      221.520,   129233.938,      221.520,   129233.938,      221.520,   129233.938,      221.520,   129233.938,      221.520
20110212.00000,   129233.938,      221.520,   129233.938,      221.520,   129233.938,      221.520,   129233.938,      221.520,   129233.938,      221.520,   129233.938,      221.520,   129233.938,      221.520,   129233.938,      221.520,   129233.938,      221.520
20110212.00000,   129233.938,      221.520,   129233.938,      221.520,   129233.938,      221.520,   129233.938,      221.520,   129233.938,      221.520,   129233.938,      221.520,   129233.938,      221.520,   129233.938,      221.520,   129233.938,      221.520
20110214.00000,   129233.938,      221.520,   129233.938,      221.520,   129233.938,      221.520,   129233.938,      221.520,   129233.938,      221.520,   129233.938,      221.520,   129233.938,      221.520,   129233.938,      221.520,   129233.938,      221.520
20110216.00000,   129233.938,      221.520,   129233.938,      221.520,   129233.938,      221.520,   129233.938,      221.520,   129233.938,      221.520,   129233.938,      221.520,   129233.938,      221.520,   129233.938,      221.520,   129233.938,      221.520
20110216.00000,   129233.938,      221.520,   129233.938,      221.520,   129233.938,      221.520,   129233.938,      221.520,   129233.938,      221.520,   129233.938,      221.520,   129233.938,      221.520,   129233.938,      221.520,   129233.938,      221.520
20110216.00000,   129233.938,      221.520,   129233.938,      221.520,   129233.938,      221.520,   129233.938,      221.520,   129233.938,      221.520,   129233.938,      221.520,   129233.938,      221.520,   129233.938,      221.520,   129233.938,      221.520
20110218.00000,   129233.938,      221.520,   129233.938,      221.520,   129233.938,      221.520,   129233.938,      221.520,   129233.938,      221.520,   129233.938,      221.520,   129233.938,      221.520,   129233.938,      221.520,   129233.938,      221.520
20110220.00000,   129233.938,      221.520,   129233.938,      221.520,   129233.938,      221.520,   129233.938,      221.520,   129233.938,      221.520,   129233.938,      221.520,   129233.938,      221.520,   129233.938,      221.520,   129233.938,      221.520
20110220.00000,   129233.938,      221.520,   129233.938,      221.520,   129233.938,      221.520,   129233.938,      221.520,   129233.938,      221.520,   129233.938,      221.520,   129233.938,      221.520,   129233.938,      221.520,   129233.938,      221.520
20110220.00000,   129233.938,      221.520,   129233.938,      221.520,   129233.938,      221.520,   129233.938,      221.520,   129233.938,      221.520,   129233.938,      221.520,   129233.938,      221.520,   129233.938,      221.520,   129233.938,      221.520
20110222.00000,   129233.938,      221.520,   129233.938,      221.520,   129233.938,      221.520,   129233.938,      221.520,   129233.938,      221.520,   129233.938,      221.520,   129233.938,      221.520,   129233.938,      221.520,   129233.938,      221.520
20110224.00000,   129233.938,      221.520,   129233.938,      221.520,   129233.938,      221.520,   129233.938,      221.520,   129233.938,      221.520,   129233.938,      221.520,   129233.938,      221.520,   129233.938,      221.520,   129233.938,      221.520
20110224.00000,   129233.938,      221.520,   129233.938,      221.520,   129233.938,      221.520,   129233.938,      221.520,   129233.938,      221.520,   129233.938,      221.520,   129233.938,      221.520,   129233.938,      221.520,   129233.938,      221.520
20110224.00000,   129233.938,      221.520,   129233.938,      221.520,   129233.938,      221.520,   129233.938,      221.520,   129233.938,      221.520,   129233.938,      221.520,   129233.938,      221.520,   129233.938,      221.520,   129233.938,      221.520
20110226.00000,   129233.938,      221.520,   129233.938,      221.520,   129233.938,      221.520,   129233.938,      221.520,   129233.938,      221.520,   129233.938,      221.520,   129233.938,      221.520,   129233.938,      221.520,   129233.938,      221.520
20110228.00000,   129233.938,      221.520,   129233.938,      221.520,   129233.938,      221.520,   129233.938,      221.520,   129233.938,      221.520,   129233.938,      221.520,   129233.938,      221.520,   129233.938,      221.520,   129233.938,      221.520
20110228.00000,   129233.938,      221.520,   129233.938,      221.520,   129233.938,      221.520,   129233.938,      221.520,   129233.938,      221.520,   129233.938,      221.520,   129233.938,      221.520,   129233.938,      221.520,   129233.938,      221.520
